Timestamp,What is your age group?  ,Where are you from? (Country only),For how long have you been playing FoE?,Have you ever spent money on in-game purchases?,"How much do you spend per year, approximately? (Consider values on US Dolar, Euros or Pounds)",What is your main purpose for spending? (Pick the most accurate),Which is your guild style?,What is your guild size?,Have you ever led a guild in this game? ,"In real life, have you ever managed people (as a manager, business owner, or supervisor)?  "
10/10/2024 23:50:01,20 to 34,United Kingdom,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,"Yes, for a while",Yes
11/10/2024 00:33:24,35 to 49,UK,Between 1 and 2 years,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,Never,No
11/10/2024 02:36:39,More than 64,Born England - Living USA,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Competitive,Up to 20 players,"Yes, for a while",Yes
11/10/2024 02:50:03,50 to 64,Australia,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,Up to 20 players,Never,Yes
11/10/2024 03:28:05,35 to 49,canada,Between 1 and 2 years,A few times per year,Up to 500,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,I currently lead one,Yes
11/10/2024 04:10:47,More than 64,Canada,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,41 to 60 players,"Yes, for a while",Yes
11/10/2024 06:08:40,35 to 49,us,More than 4 years,Every month,Up to 500,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,More than 60,"Yes, for a while",Yes
11/10/2024 06:39:40,20 to 34,Italy,Between 2 and 4 years,A few times per year,Up to 100,Compete in Guild Battleground,Active but non-competitive,41 to 60 players,"Yes, for a while",Yes
11/10/2024 06:45:05,20 to 34,South Africa,Less than 3 months,A few times per year,0 (Do not spend),Do not spend,I play alone,21 to 40 players,Never,Yes
11/10/2024 06:56:07,50 to 64,South Africa,Between 2 and 4 years,Only once,Up to 50,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,Yes
